iter	RMSE
0	8.87799668
1	8.816237792
2	8.749961256
3	8.698093872
4	8.637536646
5	8.579768468
6	8.524837249
7	8.469733926
8	8.412645825
9	8.355977098
10	8.303125903
11	8.246370309
12	8.196371038
13	8.147091876
14	8.099192824
15	8.046326144
16	7.993121598
17	7.941978586
18	7.889975293
19	7.838251172
20	7.791777603
21	7.742072545
22	7.691752105
23	7.645541912
24	7.60601652
25	7.558389934
26	7.5078636
27	7.468008603
28	7.427616153
29	7.388405024
30	7.344769934
31	7.297183954
32	7.259417393
33	7.215501548
34	7.172777915
35	7.13549538
36	7.095797455
37	7.0559075
38	7.014963386
39	6.971309813
40	6.929286419
41	6.883824141
42	6.841995339
43	6.798601182
44	6.757785603
45	6.723060955
46	6.683070442
47	6.64651097
48	6.606489287
49	6.565497486
50	6.523492678
51	6.488725053
52	6.453563457
53	6.423625937
54	6.386665481
55	6.349751137
56	6.314114791
57	6.280767602
58	6.245341393
59	6.212447149
60	6.177106874
61	6.143656994
62	6.114283763
63	6.078411701
64	6.044401561
65	6.010613672
66	5.978506622
67	5.951945782
68	5.919606222
69	5.889697827
70	5.857067986
71	5.826001443
72	5.794805003
73	5.768398898
74	5.74043238
75	5.710512467
76	5.678351172
77	5.650916697
78	5.623879
79	5.592091625
80	5.559396921
81	5.530210696
82	5.50853757
83	5.478451931
84	5.449606614
85	5.420092127
86	5.389422074
87	5.362729182
88	5.337432006
89	5.313890476
90	5.285884795
91	5.256915488
92	5.228614566
93	5.204319543
94	5.177427485
95	5.151974227
96	5.123942472
97	5.09762623
98	5.071401734
99	5.048559155
100	5.02619893
101	5.00298294
102	4.977728945
103	4.953987057
104	4.925511298
105	4.899415924
106	4.881848578
107	4.859889207
108	4.834784249
109	4.813107337
110	4.791953156
111	4.771280233
112	4.753626538
113	4.7300294
114	4.703991844
115	4.681498237
116	4.65735047
117	4.638003889
118	4.614237393
119	4.594163698
120	4.571065344
121	4.554404964
122	4.534891834
123	4.513860091
124	4.498013666
125	4.48214681
126	4.46401895
127	4.446420462
128	4.424837958
129	4.406283333
130	4.38570052
131	4.367317389
132	4.347386108
133	4.328197445
134	4.309055507
135	4.289235526
136	4.27219221
137	4.256773477
138	4.24010334
139	4.223939376
140	4.210797307
141	4.193871719
142	4.177953449
143	4.161178536
144	4.143091885
145	4.122566989
146	4.10780306
147	4.088754413
148	4.074775086
149	4.056804427
150	4.042474603
151	4.026689264
152	4.009345315
153	3.992464567
154	3.976953281
155	3.96371128
156	3.948112838
157	3.9314713
158	3.916521436
159	3.900822787
160	3.890427451
161	3.875614689
162	3.860549103
163	3.848803984
164	3.834472793
165	3.821111537
166	3.808480949
167	3.795754177
168	3.783514045
169	3.769680426
170	3.756079211
171	3.741561442
172	3.726371079
173	3.713395089
174	3.6973942
175	3.687285095
176	3.675102075
177	3.664797973
178	3.650715203
179	3.636991332
180	3.627698826
181	3.618537294
182	3.608461619
183	3.596049244
184	3.584593908
185	3.572636995
186	3.564815605
187	3.554533633
188	3.541265686
189	3.528769706
190	3.518297242
191	3.506781774
192	3.494217003
193	3.480623386
194	3.471630018
195	3.460032808
196	3.450446719
197	3.439446771
198	3.430964013
199	3.422611741
200	3.41354863
201	3.403046786
202	3.39215203
203	3.383073843
204	3.375977852
205	3.367420589
206	3.357888025
207	3.348882785
208	3.339281496
209	3.329153135
210	3.320046945
211	3.310512962
212	3.300014365
213	3.290573831
214	3.282169329
215	3.275255398
216	3.26541975
217	3.255154744
218	3.249783297
219	3.239605351
220	3.230684429
221	3.220730629
222	3.214810054
223	3.205503632
224	3.197363981
225	3.188690521
226	3.182689911
227	3.174045475
228	3.167129175
229	3.15752644
230	3.148819939
231	3.140057747
232	3.132534593
233	3.124935155
234	3.116314417
235	3.109270081
236	3.101558267
237	3.094245499
238	3.085677294
239	3.078456311
240	3.070701777
241	3.062794052
242	3.054334116
243	3.047231727
244	3.040836003
245	3.033996136
246	3.028646061
247	3.021917323
248	3.015238734
249	3.006905103
250	2.998963025
251	2.995362994
252	2.988540065
253	2.982265709
254	2.976478215
255	2.970329988
256	2.964090445
257	2.957836223
258	2.951385869
259	2.945782668
260	2.939580347
261	2.933263893
262	2.928597794
263	2.920504174
264	2.914038681
265	2.907104996
266	2.902295365
267	2.896319736
268	2.889502963
269	2.883869926
270	2.878347978
271	2.87319351
272	2.866626568
273	2.860265658
274	2.855430069
275	2.849634877
276	2.844186463
277	2.837734547
278	2.833993949
279	2.829466478
280	2.823391038
281	2.817998471
282	2.813380202
283	2.806913283
284	2.801877247
285	2.79690433
286	2.791268432
287	2.786011793
288	2.779964568
289	2.774578125
290	2.768673894
291	2.764297972
292	2.760826951
293	2.755343345
294	2.749202755
295	2.744314274
296	2.7402156
297	2.735213106
298	2.729781337
299	2.724388948
300	2.720408313
301	2.71585807
302	2.71086656
303	2.705756524
304	2.702304907
305	2.698369937
306	2.692619224
307	2.68724829
308	2.682509436
309	2.678075006
310	2.672322552
311	2.668395648
312	2.663819133
313	2.659931298
314	2.656337383
315	2.651795137
316	2.647526881
317	2.642919194
318	2.639636242
319	2.635071973
320	2.630117352
321	2.626366807
322	2.622873123
323	2.618416064
324	2.614974263
325	2.610007802
326	2.605480132
327	2.601843683
328	2.598542204
329	2.594909371
330	2.591614111
331	2.58706733
332	2.584506969
333	2.580898006
334	2.575634377
335	2.57281821
336	2.569735898
337	2.56585894
338	2.562043715
339	2.560289047
340	2.555961216
341	2.553295184
342	2.548462544
343	2.544568297
344	2.541363779
345	2.537606679
346	2.534551466
347	2.530722404
348	2.527121806
349	2.52465728
350	2.521487629
351	2.51748833
352	2.514295247
353	2.510389148
354	2.506856308
355	2.504321378
356	2.501437923
357	2.498546548
358	2.4946
359	2.491757209
360	2.488142095
361	2.484783289
362	2.481397325
363	2.47810142
364	2.474800869
365	2.471065592
366	2.467810114
367	2.464476097
368	2.462250894
369	2.459219112
370	2.456722027
371	2.453628501
372	2.451225042
373	2.447183416
374	2.442484088
375	2.439578626
376	2.436325932
377	2.432718645
378	2.429466868
379	2.426903613
380	2.424398484
381	2.420834501
382	2.416606658
383	2.414091318
384	2.41114224
385	2.407763276
386	2.405310487
387	2.402608739
388	2.399842242
389	2.39746882
390	2.394012808
391	2.391094914
392	2.388392916
393	2.386532253
394	2.383754136
395	2.3798954
396	2.377283046
397	2.374522985
398	2.372163912
399	2.369704576
400	2.366943361
401	2.36355625
402	2.361475233
403	2.358478512
404	2.356891708
405	2.354553179
406	2.350557933
407	2.348302133
408	2.345984409
409	2.343775099
410	2.341248326
411	2.339742915
412	2.33699466
413	2.335083513
414	2.332143657
415	2.328629854
416	2.325691421
417	2.322492904
418	2.320176552
419	2.316810312
420	2.314470303
421	2.311423267
422	2.309214983
423	2.307314131
424	2.305447318
425	2.302168782
426	2.299782203
427	2.297564215
428	2.29514537
429	2.292266594
430	2.289584836
431	2.286709342
432	2.284195176
433	2.281786785
434	2.279347767
435	2.276466034
436	2.274105226
437	2.272147357
438	2.269802766
439	2.267273469
440	2.264564543
441	2.261517989
442	2.258123896
443	2.256444097
444	2.254460953
445	2.251255549
446	2.250009766
447	2.2476274
448	2.244176998
449	2.242082347
450	2.239322486
451	2.237465626
452	2.235777762
453	2.232950645
454	2.231434854
455	2.229202497
456	2.227634135
457	2.225100452
458	2.222385304
459	2.220492602
460	2.218103332
461	2.216366854
462	2.214674427
463	2.212471947
464	2.210023649
465	2.208509405
466	2.205792399
467	2.203229012
468	2.200853115
469	2.198665261
470	2.196660146
471	2.193948416
472	2.192600301
473	2.19040949
474	2.188993579
475	2.186469946
476	2.184529015
477	2.18313005
478	2.180106112
479	2.177523989
480	2.17456744
481	2.172089631
482	2.169750065
483	2.167648045
484	2.165015768
485	2.162995172
486	2.161111952
487	2.159230167
488	2.157576196
489	2.156568661
490	2.154467322
491	2.151592935
492	2.149598458
493	2.147885216
494	2.145096167
495	2.143719744
496	2.142024966
497	2.140674369
498	2.138071529
499	2.136723103
500	2.134489234
501	2.132079407
502	2.130117626
503	2.128160546
504	2.12490529
505	2.122119499
506	2.11983451
507	2.117261252
508	2.115996311
509	2.11396352
510	2.112452499
511	2.110794447
512	2.108875718
513	2.10644116
514	2.104449732
515	2.102758837
516	2.10144059
517	2.099558166
