iter	Passed	Remaining
0	1	1004
1	1	862
2	2	823
3	3	818
4	4	813
5	4	798
6	5	787
7	6	777
8	7	775
9	7	780
10	8	775
11	9	768
12	10	764
13	10	764
14	11	763
15	12	762
16	13	757
17	13	752
18	14	758
19	15	760
20	16	758
21	16	754
22	17	750
23	18	756
24	19	759
25	20	758
26	20	755
27	21	754
28	22	758
29	23	755
30	24	753
31	24	750
32	25	748
33	26	746
34	27	744
35	27	745
36	28	742
37	29	740
38	30	743
39	30	743
40	31	744
41	32	741
42	33	740
43	34	744
44	35	744
45	35	741
46	36	739
47	37	736
48	37	736
49	38	736
50	39	736
51	40	730
52	40	729
53	41	731
54	42	730
55	43	728
56	43	727
57	44	725
58	45	727
59	46	726
60	47	725
61	47	724
62	48	723
63	49	721
64	50	721
65	50	720
66	51	718
67	52	716
68	52	715
69	53	715
70	54	715
71	55	714
72	56	712
73	56	711
74	57	712
75	58	711
76	59	710
77	60	709
78	60	707
79	61	708
80	62	708
81	63	707
82	64	708
83	65	709
84	65	710
85	66	709
86	67	707
87	68	706
88	69	707
89	69	707
90	70	705
91	71	704
92	72	702
93	72	703
94	73	703
95	74	702
96	75	702
97	76	701
98	77	702
99	78	702
100	78	701
101	79	700
102	80	700
103	81	699
104	81	698
105	82	698
106	83	697
107	84	696
108	85	696
109	86	695
110	86	694
111	87	693
112	88	693
113	89	693
114	90	693
115	90	691
116	91	691
117	92	691
118	93	691
119	94	690
120	94	688
121	95	687
122	96	686
123	97	685
124	97	684
125	98	682
126	99	680
127	99	679
128	100	679
129	101	679
130	102	678
131	102	676
132	103	676
133	104	675
134	105	675
135	106	673
136	106	672
137	107	672
138	108	672
139	109	670
140	109	669
141	110	668
142	111	667
143	112	667
144	112	666
145	113	664
146	114	663
147	115	662
148	115	662
149	116	661
150	117	660
151	118	659
152	118	658
153	119	657
154	120	657
155	121	656
156	122	655
157	122	654
158	123	653
159	124	652
160	125	651
161	125	650
162	126	649
163	127	649
164	128	648
165	128	647
166	129	646
167	130	645
168	131	644
169	131	644
170	132	643
171	133	642
172	134	641
173	134	640
174	135	639
175	136	638
176	137	637
177	137	636
178	138	635
179	139	634
180	140	633
181	140	632
182	141	631
183	142	630
184	143	630
185	143	629
186	144	626
187	144	625
188	145	624
189	146	624
190	147	623
191	148	622
192	148	621
193	149	620
194	150	620
195	151	619
196	151	619
197	152	618
198	153	617
199	154	616
200	154	615
201	155	614
202	156	613
203	157	612
204	157	612
205	158	611
206	159	611
207	160	610
208	161	609
209	161	608
210	162	607
211	163	607
212	164	606
213	164	605
214	165	604
215	166	604
216	167	603
217	167	602
218	168	600
219	169	599
220	169	598
221	170	598
222	171	597
223	172	596
224	172	595
225	173	594
226	174	594
227	175	593
228	175	592
229	176	591
230	177	590
231	178	590
232	179	589
233	179	588
234	180	587
235	181	587
236	182	588
237	183	587
238	184	586
239	185	586
240	185	585
241	186	584
242	187	583
243	187	582
244	188	581
245	189	581
246	190	580
247	191	579
248	191	578
249	192	577
250	193	577
251	194	576
252	194	575
253	195	574
254	196	573
255	197	572
256	198	572
257	198	572
258	199	571
259	200	570
260	201	570
261	202	569
262	202	568
263	203	567
264	204	566
265	205	566
266	206	565
267	206	564
268	207	564
269	208	563
270	209	562
271	209	561
272	210	560
273	211	559
274	212	558
275	212	558
276	213	557
277	214	556
278	215	555
279	215	554
280	216	554
281	217	553
282	218	552
283	218	551
284	219	551
285	220	550
286	221	549
287	222	548
288	222	548
289	223	547
290	224	546
291	225	545
292	225	545
293	226	544
294	227	543
295	228	543
296	229	542
297	230	542
298	230	541
299	231	540
300	232	539
301	233	538
302	233	537
303	234	536
304	235	536
305	236	535
306	236	534
307	237	533
308	238	532
309	239	532
310	240	532
311	241	531
312	241	530
313	242	530
314	243	529
315	244	528
316	245	528
317	245	527
318	246	526
319	247	526
320	248	525
321	249	525
322	250	524
323	250	523
324	252	523
325	252	522
326	253	522
327	254	521
328	255	520
329	256	520
330	257	519
331	258	519
332	258	518
333	259	517
334	260	517
335	261	516
336	262	516
337	263	515
338	264	514
339	264	513
340	265	512
341	266	512
342	267	511
343	267	511
344	268	510
345	269	509
346	270	509
347	271	508
348	272	507
349	272	506
350	273	506
351	274	505
352	275	505
353	276	504
354	277	503
355	278	503
356	279	502
357	279	501
358	280	501
359	281	500
360	282	499
361	283	499
362	284	498
363	284	497
364	285	497
365	286	496
366	287	495
367	288	495
368	289	494
369	289	493
370	290	493
371	291	492
372	292	491
373	293	491
374	294	490
375	295	490
376	296	489
377	297	488
378	297	488
379	298	487
380	299	487
381	300	486
382	301	485
383	302	484
384	303	484
385	303	483
386	304	482
387	305	481
388	306	481
389	307	480
390	308	480
391	309	479
392	310	479
393	311	478
394	312	477
395	312	477
396	313	476
397	314	476
398	315	475
399	316	475
400	317	474
401	318	474
402	319	473
403	320	473
404	321	472
405	322	472
406	323	471
407	324	470
408	325	470
409	326	469
410	327	468
411	327	468
412	328	467
413	329	466
414	330	466
415	331	465
416	332	464
417	333	464
418	334	463
419	335	462
420	335	462
421	336	461
422	337	460
423	338	460
424	339	459
425	340	458
426	341	458
427	342	457
428	342	456
429	343	455
430	344	455
431	345	454
432	346	453
433	347	452
434	348	452
435	349	451
436	350	450
437	350	450
438	351	449
439	352	448
440	353	448
441	354	447
442	355	446
443	356	446
444	357	445
445	357	444
446	358	443
447	359	443
448	360	442
449	361	441
450	362	441
451	363	440
452	363	439
453	364	438
454	365	437
455	366	437
456	367	436
457	368	435
458	368	434
459	369	434
460	370	433
461	371	432
462	372	431
463	373	431
464	374	430
465	374	429
466	375	428
467	376	428
468	377	427
469	378	426
470	378	425
471	380	425
472	380	424
473	381	423
474	382	422
475	382	421
476	383	420
477	384	420
478	385	419
479	386	418
480	386	417
481	387	416
482	388	416
483	389	415
484	390	414
485	391	413
486	391	412
487	392	412
488	393	411
489	394	410
490	394	409
491	395	408
492	396	407
493	397	406
494	397	405
495	398	404
496	399	404
497	400	403
498	400	402
499	401	401
500	402	400
501	403	400
502	403	399
503	404	398
504	405	397
505	406	396
506	406	395
507	407	394
508	408	393
509	409	393
510	409	392
511	410	391
512	411	390
513	412	389
514	412	388
515	413	387
516	414	387
517	415	386
518	415	385
519	416	384
520	417	383
521	418	382
522	418	382
523	419	381
524	420	380
525	421	379
526	422	379
527	423	378
528	424	377
529	425	376
530	425	376
531	426	375
532	427	374
533	428	373
534	429	373
535	430	372
536	431	371
537	432	371
538	433	370
539	433	369
540	434	368
541	435	368
542	436	367
543	437	366
544	438	365
545	438	364
546	439	364
547	440	363
548	441	362
549	441	361
550	442	360
551	443	359
552	444	359
553	445	358
554	445	357
555	446	356
556	447	356
557	448	355
558	449	354
559	450	353
560	450	352
561	451	352
562	452	351
563	453	350
564	454	349
565	455	348
566	455	348
567	456	347
568	457	346
569	458	345
570	459	344
571	459	344
572	460	343
573	461	342
